22407|7707019314205     |CLOXIDIN 250 MG SUSPENSION                        |FCO X  80 ML                  |1|13000.00
20087|7702207136010     |MOMETASYN 0.05% NASAL ADULTOS SPRAY               |FCO X 18 GR                   |1|78900.00
14013|100001965         |LECHE DE MAGNESIA PHILLIPS                        |FCO X 120 ML                  |3|2600.00
31395|7702186001514     |POLVO COMP.SMART ARROZ N.21                       |UND                           |1|11400.00
80116|7707193640091     |CREMA ANTIPANALITIS BEST DIAR                     |TBO X 30 GR                   |3|12000.00
20050|7702796823001     |VENDA ELASTICA KENNEDY 6 X 5                      |UND                           |4|2500.00
92178|7707351592491     |LINIMENTO OUTDOL SPRAY                            |FCO X 60 ML                   |1|13000.00
93049|7709990063387     |LINIMENTO 9 ROJO                                  |FCO X 60 ML                   |1|0.00
35014|7707200900231     |PRUEBA EMBARAZO CASSETTE ICOM                     |UND                           |3|7000.00
35503|7703381004201     |MICARDIS PLUS 80/12.5 MG TABLETAS                 |CJA X  28 UN                  |1|183000.00
26845|7702189026774     |PAPAS MARGARITA POLLO                             |PAQ X 25 GR                   |29|1200.00
20238|770011697         |AMLODIPINO 10 MG TABLETAS MK                      |CJA X 10 UND                  |1|9000.00
91180|7509546057569     |DTE LADY S.S.SPR.PROF.PROT.5 EN 1                 |FCO X 100 ML                  |1|14600.00
31585|7702186000135     |MAQUI.FLUIDO SMART N.33                           |FCO X  20 GR                  |2|9200.00
11922|7703381003228     |MICARDIS 40 MG TABLETAS                           |CJA X  14 UN                  |1|53000.00
56856|0736085278507     |MANZANILLA OFTENO SOLUCION                        |FCO X  15 ML                  |2|8600.00
13724|7702605103300     |TRAMADOL 100 MG GOTAS GF                          |FCO X  10 ML                  |10|7500.00
20328|7702057074784     |PIRACETAM 800 MG TABLETAS MK                      |CJA X 30 UND                  |2|12500.00
19784|7702502015706     |UNICLAR NASAL 10 GR PEDIATRICO SPRAY              |FCO X 60 DO                   |1|79000.00
34787|7703331110792     |NEBIDO 1000 MG/4 ML AMPOLLA                       |UND                           |1|130000.00
10615|7501056338589     |CREMA P/PEINAR SEDAL SOS REC.ESTRUCTURAL          |FCO X 300 ML                  |1|7000.00
31746|7707200900149     |SEDA DENTAL WHOLEFRESH MENTA ICOM                 |DISP X 50 MT                  |7|4900.00
91347|7707305131240     |ESMALTE CHECO N 111                               |UND                           |17|2500.00
18463|7702207310625     |CLUVAX FORTE OVULOS                               |CJA X 3 UND                   |1|63000.00
23857|7707210530015     |CALADERM CALAMINA LOCION                          |FCO X 120 ML                  |2|5400.00
15137|7891010037024     |ACEITE JJ BABY ORIGINAL                           |FCO X 300 ML                  |1|13600.00
11116|7891024123485     |CREMA COLGATE SENSITIVE/PRO-ALIVIO                |TBO X  75 GR                  |1|17800.00
14608|7703381101719     |BISOLVON NINOS AHORRE 2.000                       |FCO X 120 ML                  |3|0.00
26737|7707355050232     |DESONIDA 0.05% CREMA                              |TBO X 15 GR                   |2|11650.00
56793|7703763310043     |ESOZ 40 MG TABLETAS                               |CJA X  14 UN                  |1|87000.00
24262|7702113000535     |LACA KLEER-LAC FUERTE AMARILLA R104               |COJIN X 120 ML                |4|6300.00
23775|7702044015141     |AUTOBRONCEADOR NUDE BRONZE CREMA                  |TBO X 120 GR                  |1|0.00
58097|0650240004643     |JABON ASEPXIA EXFOLIANTE                          |PTA X 100 GR                  |3|5800.00
11696|7703381003150     |LISALGIL 5 ML AMPOLLAS                            |CJA X 3 UND                   |1|13800.00
31923|7707228360079     |GUANTE EXAMEN ALFA LATEX T.S                      |CJA X 100 UND                 |2|13400.00
92800|100018010         |CREMOQUINONA CREMA                                |FCO X 30 GR                   |2|15400.00
12136|3499320003087     |EPIDUO GEL                                        |TBO X  30 GR                  |1|82000.00
59377|7707213870521     |ANILLO VAGINAL NUVARING SOBRE                     |CJA X  1 UN                   |1|53000.00
92951|7506309805559     |CHA.HEAD-SHOULDERS FUERZA REJUV.                  |FCO X 200 ML                  |2|9000.00
59503|0650240009532     |POLVO COMP.ASEPXIA BRONCE MATE                    |UND                           |2|21800.00
33168|7707200906233     |CATETER JELCO PLUS 20 G PQM HOSP.                 |UND                           |6|2250.00
57499|7702123001348     |GYNO CANESTEN 200 MG OVULOS BLANDOS               |CJA X 3 UND                   |1|30000.00
91258|7707200907469     |CEP.WHOLE FRESH ICOM ZIG ZAG FLEXOR 2X1           |UND                           |1|0.00
20258|770011772         |CAPTOPRIL 50 MG TABLETAS MK                       |CJA X 30 UND                  |1|3500.00
17739|8712400806121     |LECHE NUTRILON SIN LACTOSA                        |LTA X 400 GR                  |1|37000.00
80290|7703889000576     |SUNFACE KIDS PROT/SOLAR SPF 50                    |TBO X  75 GR                  |1|52000.00
25959|7501056330491     |CREMA POND-S REJUVENESS                           |POT X 100 GR                  |2|26900.00
15991|7702186000418     |POLVO COMP.SMART RPTO N.1 DURAZNO                 |UND                           |4|7200.00
92157|0300650454209     |SYSTANE GEL GOTAS                                 |FCO X 10 ML                   |1|24500.00
92290|7707197466918     |SUNFREE 50 FPS                                    |FCO X 60 GR                   |4|29000.00
32465|7707200900125     |CEP.WHOLEFRESH C/DIAMANTE MEDIO 2X1 OFT           |OFTA                          |1|4900.00
17635|0300090555368     |LINCOCIN 600 MG AMPOLLAS                          |CJA X 6 UND                   |1|85000.00
31401|7702186001538     |POLVO COMP.SMART ARROZ N.23                       |UND                           |1|11400.00
60009|7707222420076     |SUNSTOP LOCION SPF 30 P/SOLAR                     |FCO X 120 ML                  |1|53600.00
22599|7707277580169     |OPHARCIM 0.3% SOLUCION OFTALMICA                  |FCO X 15 ML                   |4|12000.00
92890|7703454122979     |COLYPAN PLUS 200/120 MG                           |CJA X 30 UND                  |1|0.00
92902|7506309864891     |DTE GILLETTE SPRAY POWER RUSH  H                  |FCO X 93 GR                   |1|0.00
21473|7702338170204     |LECHE NURSOY                                      |TRRO X 400 GR                 |1|42000.00
80970|7707228362356     |GUANTE NITRILO ALFA AZUL T.L.                     |UND                           |24|0.00
10080|733739112309      |FRUCTOSA                                          |CJA X 680 GR                  |2|25000.00
93210|7702425549104     |PAN.HUGGIES NAT.CARE ET.3 GDE 50U.S.PRE           |PAQ X 50 UND                  |2|28400.00
22952|7702186023011     |LAPIZ DELIN.NAILEN OJOS NEGRO ONIX                |UND                           |2|3500.00
20350|100005976         |SILDENAFIL 50 MG TABLETAS MK                      |CJA X 2 UND                   |3|5000.00
13095|7707355052588     |QUERCETOL 500 MG TABLETAS                         |CJA X  10 UND                 |2|32000.00
36598|7702195076459     |CLORFENIRAMINA 4 MG TABLETAS RC                   |CJA X  20 UN                  |1|4000.00
11845|11845             |LECHE ENFAMIL AR                                  |LTA X 400 GR                  |1|36000.00
80341|7702186027149     |ESMALTE NAILEN ZONA ROSA                          |FCO X  8 GR                   |23|2000.00
10074|7705471100305     |ACEITE RICINO 30 ML                               |UND                           |5|1300.00
14404|7707287100968     |TOBILLERA CERRADA TALLA S                         |UND                           |1|9900.00
91510|7702037651394     |BIBERON MUNCHI  BOCA ANGOSTA                      |FCO X 9 ONZ                   |2|4300.00
90887|7702502019926     |TALCO MEXSANA LADY 300 GR+85 GR P.E.              |UND                           |2|0.00
92392|7704412159389     |HIDROCLOROPIAZIDA 25 MG                           |CJA X 30 UND                  |2|2800.00
12832|7707200908800     |GASA ICOM ASEPTICA 1 X 1 YDS                      |UND                           |1|1300.00
92254|7707200903355     |TINTE EN POLVO COLORSTYLE VINOTINTO 6 GR          |TBO X 6 GR                    |1|0.00
92253|7707200902815     |TINTE EN POLVO COLORSTYLE R.DORADO 6 GR           |TBO X 6 GR                    |1|0.00
25526|7707200900217     |POLVO COMP.SOTTILE F/S ALMENDRAS N.1              |CJA X  14 GR                  |3|5000.00
31703|0039800011367     |PILA ENERGIZER MAX ALKALINA MEDIANA               |BLI X 2 UND                   |4|9500.00
21028|7702035432834     |ENJ.BUCAL LISTERINE FRESH/BURST                   |FCO X 360 ML                  |1|10800.00
15111|7702354030780     |GEL FIJADOR EGO EXTREME MAX F/MEN COJIN           |CJA X  15 UND                 |4|7500.00
11386|792734000011      |KELO-COTE GEL                                     |FCO X 15 GR                   |1|126500.00
